Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2024-04-21 21:02:44.293,,,,,,,,,,0.03,"EUR",,,"Interest on cash",d49e428e-d585-4301-9826-39fc52555b89,,,,,,
Interest on cash,2024-04-22 21:02:41.897,,,,,,,,,,0.02,"EUR",,,"Interest on cash",c03e0ada-4978-4521-8da1-f9ee3be40168,,,,,,
Interest on cash,2024-04-23 21:03:43.986,,,,,,,,,,0.03,"EUR",,,"Interest on cash",217bc2db-5716-4aff-8224-220a56e3f779,,,,,,
Interest on cash,2024-04-24 21:03:44.034,,,,,,,,,,0.02,"EUR",,,"Interest on cash",3c7171aa-6fd6-454c-a11b-c7162a74e5fb,,,,,,
Withdrawal,2024-04-25 16:40:40.314,,,,,,,,,,-50.00,"EUR",,,"Sent to card **** 8003",4a6f6f5f-f06b-4e87-bbfe-caef96357a66,,,,,,
Interest on cash,2024-04-25 21:03:40.978,,,,,,,,,,0.02,"EUR",,,"Interest on cash",93bf2b4f-f71a-4d87-8729-79b73012e981,,,,,,
Dividend (Dividend),2024-04-26 11:35:07,US00751Y1064,AAP,"Advance Auto Parts",4.5000000000,0.21,USD,Not available,,,0.89,"EUR",0.17,USD,,,,,,,,
Interest on cash,2024-04-26 21:03:34.8,,,,,,,,,,0.02,"EUR",,,"Interest on cash",f1aceb55-7920-47a8-9a03-a661f7a3c689,,,,,,
Interest on cash,2024-04-27 21:03:40.281,,,,,,,,,,0.02,"EUR",,,"Interest on cash",29949304-325d-4719-a96f-ab049785783d,,,,,,
Interest on cash,2024-04-28 21:03:48.186,,,,,,,,,,0.02,"EUR",,,"Interest on cash",41638200-6d0e-4a27-94b9-5d2562769a61,,,,,,
Interest on cash,2024-04-29 21:03:45.567,,,,,,,,,,0.02,"EUR",,,"Interest on cash",9492d7d7-a1c3-433f-9f36-08f8b17f4b39,,,,,,
Market buy,2024-04-29 21:24:31.504,US5949181045,MSFT,"Microsoft",0.4714744000,401.98,USD,1.07244,,"EUR",176.99,"EUR",,,,EOF13753436671,,,,,0.27,"EUR"
Deposit,2024-04-29 21:30:33.079,,,,,,,,,,800.00,"EUR",,,"Bank Transfer",3ed796e8-3519-4861-90a9-bbaab4196927,,,,,,
Market buy,2024-04-30 07:36:51.794,US30303M1027,META,"Meta Platforms",1.0000000000,430.60,USD,1.07042,,"EUR",402.87,"EUR",,,,EOF13754508753,,,,,0.60,"EUR"
Market buy,2024-04-30 14:48:15.718,US5949181045,MSFT,"Microsoft",0.9500000000,399.37,USD,1.07033,,"EUR",355.00,"EUR",,,,EOF13800398086,,,,,0.53,"EUR"
Interest on cash,2024-04-30 21:03:42.005,,,,,,,,,,0.01,"EUR",,,"Interest on cash",24658602-6840-4cd8-95ad-8a5a17c16a59,,,,,,
Dividend (Dividend),2024-05-01 08:55:13,US00206R1023,T,"AT&T",40.2584310000,0.24,USD,Not available,,,8.91,"EUR",1.68,USD,,,,,,,,
Interest on cash,2024-05-02 21:02:37.945,,,,,,,,,,0.01,"EUR",,,"Interest on cash",bbffe4d8-fc71-498e-bec5-cfeff993d7eb,,,,,,
Interest on cash,2024-05-04 21:02:41.445,,,,,,,,,,0.01,"EUR",,,"Interest on cash",95be0a62-7072-4362-b682-6f1cb1a7d61a,,,,,,
Interest on cash,2024-05-05 21:02:41.484,,,,,,,,,,0.01,"EUR",,,"Interest on cash",f3dba1ac-68d1-4669-802c-10d41530795f,,,,,,
Interest on cash,2024-05-07 21:02:31.293,,,,,,,,,,0.01,"EUR",,,"Interest on cash",9566e77a-1920-4db1-95d4-051104aec234,,,,,,
Interest on cash,2024-05-09 21:02:37.283,,,,,,,,,,0.01,"EUR",,,"Interest on cash",3edf8c57-9fa9-41e0-9ffe-013b9eadefa1,,,,,,
Interest on cash,2024-05-11 21:02:36.658,,,,,,,,,,0.01,"EUR",,,"Interest on cash",4237417f-6d50-40f0-a7be-ea1658184018,,,,,,
Interest on cash,2024-05-12 21:02:40.456,,,,,,,,,,0.01,"EUR",,,"Interest on cash",00684770-5783-4606-898b-98a356eb3bd4,,,,,,
Interest on cash,2024-05-14 21:02:38.784,,,,,,,,,,0.01,"EUR",,,"Interest on cash",16dd3a97-63b4-4713-9663-e6b6d5ba9ed6,,,,,,
Dividend (Dividend),2024-05-16 11:08:31,US0378331005,AAPL,"Apple",2.0000000000,0.21,USD,Not available,,,0.39,"EUR",0.08,USD,,,,,,,,
Interest on cash,2024-05-16 21:02:44.799,,,,,,,,,,0.01,"EUR",,,"Interest on cash",51338e75-f481-46fd-a61e-627aee157008,,,,,,
Withdrawal,2024-05-20 03:39:45.05,,,,,,,,,,-51.53,"EUR",,,"Sent to Bank account",5a5b1bfe-47b4-464c-9276-4b6b1e2c9d07,,,,,,
Market sell,2024-05-20 13:36:41.031,US00751Y1064,AAP,"Advance Auto Parts",2.5000000000,73.66,USD,1.00000,-19.65,"USD",184.15,"USD",,,,EOF14752574153,,,,,,
Withdrawal,2024-05-20 13:37:36.738,,,,,,,,,,-150.00,"USD",,,"Sent to Bank Account CCCMPTPLXXX / PT50004587274034839455253",89e1e63b-887e-4aa8-9934-d99e522bc03c,,,,,,
Interest on cash,2024-05-21 21:02:41.199,,,,,,,,,,0.01,"USD",,,"Interest on cash",9e9f32e2-2c0d-4468-96dd-a54ef1b40567,,,,,,
Interest on cash,2024-05-23 21:02:48.58,,,,,,,,,,0.01,"USD",,,"Interest on cash",9fc58a25-7d48-4d3f-8d8a-01ee9275fe9f,,,,,,
Interest on cash,2024-05-26 21:02:49.478,,,,,,,,,,0.01,"USD",,,"Interest on cash",4b38e732-0fea-407b-8b6c-8cf86ec5584e,,,,,,
Interest on cash,2024-05-28 21:02:46.603,,,,,,,,,,0.01,"USD",,,"Interest on cash",dd907066-ec6f-4f93-a0fb-7aa8347d5971,,,,,,
Interest on cash,2024-05-30 21:02:43.068,,,,,,,,,,0.01,"USD",,,"Interest on cash",18629d05-3043-4376-825a-0dd0b93ca1ec,,,,,,
Market sell,2024-05-31 13:58:35.791,US00751Y1064,AAP,"Advance Auto Parts",2.0000000000,68.74,USD,1.00000,-25.56,"USD",137.48,"USD",,,,EOF15301121347,,,,,,
Market buy,2024-05-31 14:01:51.252,US5949181045,MSFT,"Microsoft",0.0121271000,412.29,USD,1.00000,,"USD",5.00,"USD",,,,EOF15301122304,,,,,,
Market sell,2024-05-31 15:32:23.873,US00206R1023,T,"AT&T",20.2584310000,17.90,USD,1.00000,34.42,"USD",362.63,"USD",,,,EOF15301144348,,,,,,
Market buy,2024-05-31 15:35:44.605,US5949181045,MSFT,"Microsoft",1.0000000000,407.25,USD,1.00000,,"USD",407.25,"USD",,,,EOF15301144968,,,,,,
Interest on cash,2024-05-31 21:02:49.222,,,,,,,,,,0.01,"USD",,,"Interest on cash",b71c5746-b035-4ec4-874f-21df09011a88,,,,,,
Interest on cash,2024-06-01 21:02:52.877,,,,,,,,,,0.02,"USD",,,"Interest on cash",2b78bab5-6f7f-40c2-beed-3f76573b52d7,,,,,,
Interest on cash,2024-06-02 21:02:53.541,,,,,,,,,,0.02,"USD",,,"Interest on cash",24745189-b078-43ef-932f-1f8a87098d90,,,,,,
Interest on cash,2024-06-03 21:02:46.849,,,,,,,,,,0.01,"USD",,,"Interest on cash",b055a315-673c-40af-bf86-8282c5c42f82,,,,,,
Interest on cash,2024-06-04 21:02:47.399,,,,,,,,,,0.02,"USD",,,"Interest on cash",672ddcfa-1e0f-4dfc-9bea-baea7bf738e8,,,,,,
Interest on cash,2024-06-05 21:02:46.542,,,,,,,,,,0.02,"USD",,,"Interest on cash",d578e315-eba0-45ee-8245-b1412c429976,,,,,,
Interest on cash,2024-06-06 21:02:47.386,,,,,,,,,,0.01,"USD",,,"Interest on cash",23c301ab-c836-49a6-9c77-4d4f0de525d8,,,,,,
Interest on cash,2024-06-07 21:02:51.438,,,,,,,,,,0.02,"USD",,,"Interest on cash",2e5926c0-c5d7-4a87-a230-c559d066b4e5,,,,,,
Interest on cash,2024-06-08 21:02:49.648,,,,,,,,,,0.02,"USD",,,"Interest on cash",3828df79-2dd1-4a0b-b13b-a1f97b5f502c,,,,,,
Interest on cash,2024-06-09 21:02:52.575,,,,,,,,,,0.01,"USD",,,"Interest on cash",0d51ae9a-b0c4-4022-88e2-d01fb5677f06,,,,,,
Interest on cash,2024-06-10 21:02:44.245,,,,,,,,,,0.02,"USD",,,"Interest on cash",a5e82723-44ee-40b8-9603-29c86ed3b04a,,,,,,
Interest on cash,2024-06-11 21:02:56.446,,,,,,,,,,0.02,"USD",,,"Interest on cash",6f8965a8-a11a-4b77-9a4b-b271cc8a669b,,,,,,
Market sell,2024-06-12 09:42:53.287,US0378331005,AAPL,"Apple",2.0000000000,206.05,USD,1.00000,68.24,"USD",412.10,"USD",,,,EOF15803101310,,,,,,
Market buy,2024-06-12 16:29:51.911,US67066G1040,NVDA,"Nvidia",1.5000000000,125.59,USD,1.00000,,"USD",188.39,"USD",,,,EOF15851048810,,,,,,
